ha_cluster,ip_discharges,n_hospitals_open,patient_days,beds_total,n_hospitals_bed_table,financial_year
HKEC,102190.0,6,822971.0,6614,6,2021-22
HKWC,103370.0,7,635637.0,6152,7,2021-22
KCC,199221.0,8,1599173.0,12010,8,2021-22
KEC,114909.0,3,809758.0,5844,3,2021-22
KWC,201096.0,5,1416390.0,9906,5,2021-22
NTEC,163397.0,7,1311078.0,10288,7,2021-22
NTWC,140388.0,5,1331433.0,9524,5,2021-22
