strain	date
hCoV-19/HongKong/HK-HKPU-PUN384028120/2022	2022-08-19
hCoV-19/HongKong/HK-HKPU-PUN523426057/2022	2022-08-18
hCoV-19/HongKong/HK-HKPU-PUN523396964/2022	2022-08-18
hCoV-19/HongKong/HK-HKPU-PUN523389186/2022	2022-08-18
hCoV-19/HongKong/HK-HKPU-PUN38467717A/2022	2022-08-15
hCoV-19/HongKong/HK-HKPU-PUN38425743A/2022	2022-08-15
hCoV-19/HongKong/HK-HKPU-PUN517479063/2022	2022-08-22
hCoV-19/HongKong/HK-HKPU-PU22MM105428/2022	2022-08-21
hCoV-19/HongKong/HK-HKPU-PUN518797697/2022	2022-08-10
hCoV-19/HongKong/HK-HKPU-PUN518798200/2022	2022-08-10
hCoV-19/HongKong/HK-HKPU-PUN518303325/2022	2022-08-12
hCoV-19/HongKong/HK-HKPU-PUN518301594/2022	2022-08-12
hCoV-19/HongKong/HK-HKPU-PUN526936536/2022	2022-08-12
hCoV-19/HongKong/HK-HKPU-PUN515036172/2022	2022-08-14
hCoV-19/HongKong/HK-HKPU-PUN384031334/2022	2022-08-13
hCoV-19/HongKong/HK-HKPU-PUN683484543/2022	2022-08-24
hCoV-19/HongKong/HK-HKPU-PUN384447522/2022	2022-08-24
hCoV-19/HongKong/HK-HKPU-PUN384497066/2022	2022-08-24
hCoV-19/HongKong/HK-HKPU-PUN384396804/2022	2022-08-22
hCoV-19/HongKong/HK-HKPU-PUN511669707/2022	2022-08-21
hCoV-19/HongKong/HK-HKPU-PUN684681830/2022	2022-08-20
hCoV-19/HongKong/HK-HKPU-PUN523725232/2022	2022-08-08
hCoV-19/HongKong/HK-HKPU-PUN525290144/2022	2022-08-08
hCoV-19/HongKong/HK-HKPU-PUN384025857/2022	2022-08-08
hCoV-19/HongKong/HK-HKPU-PUN526629188/2022	2022-08-07
hCoV-19/HongKong/HK-HKPU-PUN383608336/2022	2022-08-03
hCoV-19/HongKong/HK-HKPU-PUN520013509/2022	2022-08-03
hCoV-19/HongKong/HK-HKPU-PUH087035089/2022	2022-07-10
hCoV-19/HongKong/HK-HKPU-PUN384297407/2022	2022-08-09
hCoV-19/HongKong/HK-HKPU-PUN515251677/2022	2022-08-04
hCoV-19/HongKong/HK-HKPU-PUN515498281/2022	2022-07-26
hCoV-19/HongKong/HK-HKPU-PUN518486764/2022	2022-08-16
hCoV-19/HongKong/HK-HKPU-PUH089976441/2022	2022-08-02
hCoV-19/HongKong/HK-HKPU-PUH095393908/2022	2022-07-11
hCoV-19/HongKong/HK-HKPU-PUN383376508/2022	2022-07-20
hCoV-19/HongKong/HKU-488/2022	2022-08-21
hCoV-19/HongKong/HKU-492/2022	2022-08-22
hCoV-19/HongKong/HKU-508/2022	2022-08-23
hCoV-19/HongKong/HKU-515/2022	2022-08-23
hCoV-19/HongKong/HKU-523/2022	2022-08-23
hCoV-19/HongKong/HKU-527/2022	2022-08-23
hCoV-19/HongKong/HKU-529/2022	2022-08-23
hCoV-19/HongKong/HKU-539/2022	2022-08-23
hCoV-19/HongKong/HKU-549/2022	2022-08-24
hCoV-19/HongKong/HKU-561/2022	2022-08-24
hCoV-19/HongKong/HK-HKPU-MC871550/2022	2022-07-01
hCoV-19/HongKong/HK-HKPU-MC871820/2022	2022-07-04
hCoV-19/HongKong/HKU-230518-078/2022	2022-07-04
hCoV-19/HongKong/HKU-230518-123/2022	2022-07-27
hCoV-19/HongKong/HKU-230518-155/2022	2022-08-13
hCoV-19/HongKong/HKU-230518-166/2022	2022-08-17
hCoV-19/HongKong/CUHK-NC10931/2022	2022-08-17
hCoV-19/HongKong/HK-HKPU-PUN526175535/2022	2022-09-15
hCoV-19/HongKong/HK-HKPU-PUN519905930/2022	2022-09-14
hCoV-19/HongKong/HK-HKPU-PUN51755782A/2022	2022-09-14
hCoV-19/HongKong/HK-HKPU-PUN527173552/2022	2022-09-13
hCoV-19/HongKong/HK-HKPU-PUN525512090/2022	2022-09-13
hCoV-19/HongKong/HK-HKPU-PUN525510896/2022	2022-09-13
hCoV-19/HongKong/HK-HKPU-PUN527174206/2022	2022-09-13
hCoV-19/HongKong/HK-HKPU-PU22MM142859/2022	2022-10-14
hCoV-19/HongKong/HK-HKPU-PU22MM142473/2022	2022-10-13
hCoV-19/HongKong/HK-HKPU-PU22MM618420/2022	2022-10-14
hCoV-19/HongKong/HK-HKPU-PU22V0436803/2022	2022-09-27
hCoV-19/HongKong/HK-HKPU-PU22V4544283/2022	2022-09-24
hCoV-19/HongKong/HK-HKPU-PU22V4544331/2022	2022-09-24
hCoV-19/HongKong/HK-HKPU-PU22V4538716/2022	2022-09-24
hCoV-19/HongKong/HK-HKPU-PU22V4537186/2022	2022-09-23
hCoV-19/HongKong/HK-HKPU-PUN521442446/2022	2022-09-12
hCoV-19/HongKong/HK-HKPU-PUN524410782/2022	2022-09-12
hCoV-19/HongKong/HK-HKPU-PUN684518492/2022	2022-09-12
hCoV-19/HongKong/HK-HKPU-PUN386822878/2022	2022-09-12
hCoV-19/HongKong/HK-HKPU-PUN527499474/2022	2022-09-12
hCoV-19/HongKong/HK-HKPU-PUN385880785/2022	2022-09-11
hCoV-19/HongKong/HK-HKPU-PUN527118780/2022	2022-09-10
hCoV-19/HongKong/HK-HKPU-PUN527120637/2022	2022-09-10
hCoV-19/HongKong/HK-HKPU-PUN521443787/2022	2022-09-10
hCoV-19/HongKong/HK-HKPU-PUN683605154/2022	2022-09-10
hCoV-19/HongKong/HK-HKPU-PUN525743610/2022	2022-09-09
hCoV-19/HongKong/HK-HKPU-PUN526421072/2022	2022-09-09
hCoV-19/HongKong/HK-HKPU-PUN524746918/2022	2022-09-09
hCoV-19/HongKong/HK-HKPU-PUN52675036A/2022	2022-09-09
hCoV-19/HongKong/HK-HKPU-PUN523791596/2022	2022-09-09
hCoV-19/HongKong/HK-HKPU-PUN684426679/2022	2022-09-08
hCoV-19/HongKong/HK-HKPU-PUN523416183/2022	2022-09-08
hCoV-19/HongKong/HK-HKPU-PUN683830298/2022	2022-09-07
hCoV-19/HongKong/HK-HKPU-PUN386453104/2022	2022-09-07
hCoV-19/HongKong/HK-HKPU-PUN386453740/2022	2022-09-07
hCoV-19/HongKong/HK-HKPU-PUN525342551/2022	2022-09-07
hCoV-19/HongKong/HK-HKPU-PUN519708736/2022	2022-09-06
hCoV-19/HongKong/HK-HKPU-PUN683999896/2022	2022-09-04
hCoV-19/HongKong/HK-HKPU-PUN683680555/2022	2022-09-03
hCoV-19/HongKong/HK-HKPU-PUN385943981/2022	2022-09-03
hCoV-19/HongKong/HK-HKPU-PUN519277085/2022	2022-09-03
hCoV-19/HongKong/HK-HKPU-PUN68400040A/2022	2022-09-02
hCoV-19/HongKong/HK-HKPU-PUN683776102/2022	2022-09-02
hCoV-19/HongKong/HK-HKPU-PUN386864600/2022	2022-09-02
hCoV-19/HongKong/HK-HKPU-PUN385833779/2022	2022-09-02
hCoV-19/HongKong/HK-HKPU-PUN684004685/2022	2022-09-01
hCoV-19/HongKong/HK-HKPU-PUN683760141/2022	2022-09-01
hCoV-19/HongKong/HK-HKPU-PUN386462081/2022	2022-09-01
hCoV-19/HongKong/HK-HKPU-PUN386735290/2022	2022-09-01
hCoV-19/HongKong/HK-HKPU-PUN386465315/2022	2022-09-01
hCoV-19/HongKong/HK-HKPU-PUN38646176A/2022	2022-08-31
hCoV-19/HongKong/HK-HKPU-PUN519511320/2022	2022-08-31
hCoV-19/HongKong/HK-HKPU-PUN683708212/2022	2022-08-31
hCoV-19/HongKong/HK-HKPU-PUN519579103/2022	2022-08-30
hCoV-19/HongKong/HK-HKPU-PUN683714298/2022	2022-08-27
hCoV-19/HongKong/HK-HKPU-PUN383837068/2022	2022-08-26
hCoV-19/HongKong/HK-HKPU-PUN384539060/2022	2022-08-26
hCoV-19/HongKong/HK-HKPU-PUN521591700/2022	2022-08-25
hCoV-19/HongKong/HK-HKPU-PUN519810905/2022	2022-08-25
hCoV-19/HongKong/HK-HKPU-PUN519516551/2022	2022-08-25
hCoV-19/HongKong/HK-HKPU-PUN516814225/2022	2022-08-25
hCoV-19/HongKong/HK-HKPU-PUN684010138/2022	2022-08-29
hCoV-19/HongKong/HK-HKPU-PUN386502520/2022	2022-08-29
hCoV-19/HongKong/HK-HKPU-PUN683708824/2022	2022-08-28
hCoV-19/HongKong/HK-HKPU-PUN385796121/2022	2022-08-28
hCoV-19/HongKong/VZ22345347/2022	2022-10-04
hCoV-19/HongKong/VZ22345344/2022	2022-10-04
hCoV-19/HongKong/VZ22345343/2022	2022-10-04
hCoV-19/HongKong/VZ22343147/2022	2022-10-02
hCoV-19/HongKong/VZ22343145/2022	2022-10-02
hCoV-19/HongKong/VZ22343144/2022	2022-10-02
hCoV-19/HongKong/VZ22343137/2022	2022-10-02
hCoV-19/HongKong/VZ22343135/2022	2022-10-02
hCoV-19/HongKong/VK22271398/2022	2022-09-30
hCoV-19/HongKong/VK22271171/2022	2022-09-30
hCoV-19/HongKong/VK22270152/2022	2022-09-13
hCoV-19/HongKong/VZ22335171/2022	2022-09-27
hCoV-19/HongKong/VZ22335159/2022	2022-09-27
hCoV-19/HongKong/VZ22331800/2022	2022-09-25
hCoV-19/HongKong/VK22267920/2022	2022-09-22
hCoV-19/HongKong/VK22267835/2022	2022-09-02
hCoV-19/HongKong/VZ22321984/2022	2022-09-18
hCoV-19/HongKong/VZ22321982/2022	2022-09-18
hCoV-19/HongKong/VK22266098/2022	2022-09-18
hCoV-19/HongKong/VK22266095/2022	2022-09-16
hCoV-19/HongKong/VZ22314535/2022	2022-09-13
hCoV-19/HongKong/VZ22314526/2022	2022-09-13
hCoV-19/HongKong/VZ22314524/2022	2022-09-13
hCoV-19/HongKong/VZ22314508/2022	2022-09-13
hCoV-19/HongKong/VZ22310331/2022	2022-09-11
hCoV-19/HongKong/VZ22310327/2022	2022-09-11
hCoV-19/HongKong/VZ22310325/2022	2022-09-11
hCoV-19/HongKong/VZ22310304/2022	2022-09-11
hCoV-19/HongKong/VZ22310303/2022	2022-09-11
hCoV-19/HongKong/VZ22302465/2022	2022-09-05
hCoV-19/HongKong/VZ22302464/2022	2022-09-05
hCoV-19/HongKong/VZ22302462/2022	2022-09-05
hCoV-19/HongKong/VZ22302443/2022	2022-09-05
hCoV-19/HongKong/VZ22302436/2022	2022-09-05
hCoV-19/HongKong/VZ22302434/2022	2022-09-05
hCoV-19/HongKong/VZ22302429/2022	2022-09-05
hCoV-19/HongKong/VZ22301013/2022	2022-09-04
hCoV-19/HongKong/VZ22301010/2022	2022-09-04
hCoV-19/HongKong/VZ22301002/2022	2022-09-04
hCoV-19/HongKong/VZ22285387/2022	2022-08-29
hCoV-19/HongKong/VZ22285384/2022	2022-08-29
hCoV-19/HongKong/VZ22285379/2022	2022-08-29
hCoV-19/HongKong/VZ22282948/2022	2022-08-28
hCoV-19/HongKong/VZ22282941/2022	2022-08-28
hCoV-19/HongKong/VZ22282934/2022	2022-08-28
hCoV-19/HongKong/VZ22282931/2022	2022-08-28
hCoV-19/HongKong/VZ22282914/2022	2022-08-28
hCoV-19/HongKong/VZ22282910/2022	2022-08-28
hCoV-19/HongKong/VZ22282862/2022	2022-08-28
hCoV-19/HongKong/VZ22282860/2022	2022-08-28
hCoV-19/HongKong/VZ22314516/2022	2022-09-13
hCoV-19/HongKong/VZ22314521/2022	2022-09-13
hCoV-19/HongKong/VZ22314533/2022	2022-09-13
hCoV-19/HongKong/HK-HKPU-PUN385943965/2022	2022-09-03
hCoV-19/HongKong/VK22263497/2022	2022-09-06
hCoV-19/HongKong/VZ22321986/2022	2022-09-18
hCoV-19/HongKong/VZ22328136/2022	2022-09-22
hCoV-19/HongKong/VZ22326547/2022	2022-09-21
hCoV-19/HongKong/VZ22328137/2022	2022-09-22
hCoV-19/HongKong/VZ22321988/2022	2022-09-18
hCoV-19/HongKong/VZ22321991/2022	2022-09-18
hCoV-19/HongKong/VZ22328132/2022	2022-09-22
hCoV-19/HongKong/VZ22328138/2022	2022-09-22
hCoV-19/HongKong/HK-HKPU-PUN38593950A/2022	2022-09-08
hCoV-19/HongKong/VK22271397/2022	2022-09-30
hCoV-19/HongKong/HK-HKPU-PUN386498094/2022	2022-09-11
hCoV-19/HongKong/HK-HKPU-PUN526139784/2022	2022-09-11
hCoV-19/HongKong/HK-HKPU-PUN684514918/2022	2022-09-11
hCoV-19/HongKong/HK-HKPU-PUN518712306/2022	2022-09-09
hCoV-19/HongKong/HK-HKPU-PUN523807417/2022	2022-09-07
hCoV-19/HongKong/HK-HKPU-PUN525538847/2022	2022-09-07
hCoV-19/HongKong/HK-HKPU-PUN525090838/2022	2022-09-06
hCoV-19/HongKong/HK-HKPU-PUN52671598A/2022	2022-09-05
hCoV-19/HongKong/HK-HKPU-PUN387010362/2022	2022-09-04
hCoV-19/HongKong/HK-HKPU-PUN386999050/2022	2022-09-04
hCoV-19/HongKong/HK-HKPU-PUN526764727/2022	2022-09-04
hCoV-19/HongKong/HK-HKPU-PUN52062723A/2022	2022-09-04
hCoV-19/HongKong/HK-HKPU-PUN520833999/2022	2022-09-04
hCoV-19/HongKong/HK-HKPU-PUN52000190A/2022	2022-09-03
hCoV-19/HongKong/HK-HKPU-PUN524924735/2022	2022-09-03
hCoV-19/HongKong/HK-HKPU-PUN385950724/2022	2022-09-03
hCoV-19/HongKong/HK-HKPU-PUU049084231/2022	2022-09-11
hCoV-19/HongKong/HK-HKPU-PU22MM598355/2022	2022-09-08
hCoV-19/HongKong/HK-HKPU-PU22MM595467/2022	2022-09-04
hCoV-19/HongKong/HK-HKPU-PU22V2629742/2022	2022-09-03
hCoV-19/HongKong/HK-HKPU-PU22MC776609/2022	2022-09-07
hCoV-19/HongKong/HK-HKPU-PU22MC772153/2022	2022-08-31
hCoV-19/HongKong/HK-HKPU-PU22MC880611/2022	2022-09-02
hCoV-19/HongKong/HK-HKPU-PU22MC775303/2022	2022-09-05
hCoV-19/HongKong/HK-HKPU-PU22MB370006/2022	2022-09-02
hCoV-19/HongKong/HK-HKPU-PU22MC772907/2022	2022-09-02
hCoV-19/HongKong/HK-HKPU-PU22MC772909/2022	2022-09-02
hCoV-19/HongKong/HK-HKPU-PU22MC772426/2022	2022-09-01
hCoV-19/HongKong/HK-HKPU-PUN519517566/2022	2022-08-27
hCoV-19/HongKong/HK-HKPU-PUN519492539/2022	2022-09-01
hCoV-19/HongKong/HK-HKPU-PUN51992546A/2022	2022-08-29
hCoV-19/HongKong/HK-HKPU-PU22MM118307/2022	2022-09-06
hCoV-19/HongKong/HK-HKPU-PU22MM118191/2022	2022-09-06
hCoV-19/HongKong/HK-HKPU-PU22MM118151/2022	2022-09-06
hCoV-19/HongKong/HK-HKPU-PU22MM116425/2022	2022-09-05
hCoV-19/HongKong/HK-HKPU-PU22MM115889/2022	2022-09-04
hCoV-19/HongKong/HK-HKPU-PU22MM115954/2022	2022-09-04
hCoV-19/HongKong/HK-HKPU-PU22MM115914/2022	2022-09-04
hCoV-19/HongKong/HK-HKPU-PU22MM118324/2022	2022-09-06
hCoV-19/HongKong/HK-HKPU-PU22MM115771/2022	2022-09-04
hCoV-19/HongKong/HK-HKPU-PU22MM115782/2022	2022-09-04
hCoV-19/HongKong/HK-HKPU-PU22MB657719/2022	2022-09-02
hCoV-19/HongKong/HK-HKPU-PUN519967146/2022	2022-09-03
hCoV-19/HongKong/HK-HKPU-PUN383839451/2022	2022-08-25
hCoV-19/HongKong/HK-HKPU-PU22MV047238/2022	2022-08-31
hCoV-19/HongKong/HK-HKPU-PU22MV046945/2022	2022-08-29
hCoV-19/HongKong/HK-HKPU-PU22MV046928/2022	2022-08-29
hCoV-19/HongKong/HK-HKPU-PU22MV046847/2022	2022-08-29
hCoV-19/HongKong/HK-HKPU-PU22MM109276/2022	2022-08-25
hCoV-19/HongKong/HK-HKPU-PU22MM108986/2022	2022-08-25
hCoV-19/HongKong/HK-HKPU-PUN386428010/2022	2022-09-17
hCoV-19/HongKong/HK-HKPU-PUN526432570/2022	2022-09-16
hCoV-19/HongKong/HK-HKPU-PUN52616701A/2022	2022-09-15
hCoV-19/HongKong/HK-HKPU-PUN517555452/2022	2022-09-15
hCoV-19/HongKong/HK-HKPU-PUN525458436/2022	2022-09-12
hCoV-19/HongKong/HKU-869/2022	2022-11-14
hCoV-19/HongKong/HKU-856/2022	2022-11-11
hCoV-19/HongKong/HKU-840/2022	2022-11-08
hCoV-19/HongKong/HKU-800/2022	2022-10-29
hCoV-19/HongKong/HKU-799/2022	2022-10-29
hCoV-19/HongKong/HKU-781/2022	2022-10-25
hCoV-19/HongKong/HKU-761/2022	2022-10-22
hCoV-19/HongKong/HKU-737/2022	2022-10-16
hCoV-19/HongKong/HKU-736/2022	2022-10-15
hCoV-19/HongKong/HKU-722/2022	2022-10-12
hCoV-19/HongKong/HKU-706/2022	2022-10-09
hCoV-19/HongKong/HKU-705/2022	2022-10-08
hCoV-19/HongKong/HKU-673/2022	2022-10-02
hCoV-19/HongKong/HKU-668/2022	2022-09-30
hCoV-19/HongKong/HKU-665/2022	2022-09-30
hCoV-19/HongKong/HKU-656/2022	2022-09-27
hCoV-19/HongKong/HKU-655/2022	2022-09-27
hCoV-19/HongKong/HKU-652/2022	2022-09-26
hCoV-19/HongKong/HKU-636/2022	2022-09-23
hCoV-19/HongKong/HKU-632/2022	2022-09-22
hCoV-19/HongKong/HKU-623/2022	2022-09-20
hCoV-19/HongKong/HKU-614/2022	2022-09-18
hCoV-19/HongKong/HKU-610/2022	2022-09-17
hCoV-19/HongKong/HKU-595/2022	2022-09-11
hCoV-19/HongKong/HKU-594/2022	2022-09-10
hCoV-19/HongKong/HKU-592/2022	2022-09-09
hCoV-19/HongKong/HKU-582/2022	2022-09-06
hCoV-19/HongKong/HKU-580/2022	2022-09-06
hCoV-19/HongKong/HKU-579/2022	2022-08-26
hCoV-19/HongKong/HKU-901/2022	2022-11-21
hCoV-19/HongKong/HKU-573/2022	2022-08-25
hCoV-19/HongKong/HKU-571/2022	2022-08-25
hCoV-19/HongKong/HK-HKPU-PUN529290750/2022	2022-11-09
hCoV-19/HongKong/HK-HKPU-PUN522842502/2022	2022-11-06
hCoV-19/HongKong/HK-HKPU-PUN386026222/2022	2022-11-03
hCoV-19/HongKong/HK-HKPU-PUN386996744/2022	2022-11-01
hCoV-19/HongKong/HK-HKPU-PUN530406104/2022	2022-10-28
hCoV-19/HongKong/HK-HKPU-PUN532433664/2022	2022-10-27
hCoV-19/HongKong/HK-HKPU-PUN523263298/2022	2022-10-25
hCoV-19/HongKong/HK-HKPU-PUN532100053/2022	2022-10-21
hCoV-19/HongKong/HK-HKPU-PUN532020793/2022	2022-10-18
hCoV-19/HongKong/HK-HKPU-PUN527483403/2022	2022-10-15
hCoV-19/HongKong/HK-HKPU-PUN519403501/2022	2022-10-11
hCoV-19/HongKong/HK-HKPU-PUN519462664/2022	2022-10-11
hCoV-19/HongKong/HK-HKPU-PUN530719919/2022	2022-10-09
hCoV-19/HongKong/HK-HKPU-PUN530721557/2022	2022-10-09
hCoV-19/HongKong/HK-HKPU-PUN386699626/2022	2022-10-05
hCoV-19/HongKong/HK-HKPU-PUN524110312/2022	2022-10-04
hCoV-19/HongKong/HK-HKPU-PUN52699160A/2022	2022-10-03
hCoV-19/HongKong/HK-HKPU-PUN523709229/2022	2022-09-30
hCoV-19/HongKong/HK-HKPU-PUN684147893/2022	2022-09-29
hCoV-19/HongKong/HK-HKPU-PUN386684882/2022	2022-09-24
hCoV-19/HongKong/HK-HKPU-PUN387046707/2022	2022-09-24
hCoV-19/HongKong/HK-HKPU-PUN52788677A/2022	2022-09-21
hCoV-19/HongKong/HK-HKPU-PUN386433316/2022	2022-09-20
hCoV-19/HongKong/HK-HKPU-PUN385524962/2022	2022-09-18
hCoV-19/HongKong/HK-HKPU-PUN53014925A/2022	2022-10-25
hCoV-19/HongKong/HK-HKPU-PUN386171109/2022	2022-10-16
hCoV-19/HongKong/HK-HKPU-PUN532422980/2022	2022-10-10
hCoV-19/HongKong/HK-HKPU-PUN532860422/2022	2022-11-20
hCoV-19/HongKong/HK-HKPU-PUN522088514/2022	2022-10-02
hCoV-19/HongKong/HK-HKPU-PUN531041401/2022	2022-11-17
hCoV-19/HongKong/HK-HKPU-PUN524133169/2022	2022-10-07
hCoV-19/HongKong/HK-HKPU-PUN685538306/2022	2022-11-22
hCoV-19/HongKong/HK-HKPU-PUN522088778/2022	2022-10-02
hCoV-19/HongKong/HK-HKPU-PUN524310303/2022	2022-09-26
hCoV-19/HongKong/HKU-230518-178/2022	2022-10-12
hCoV-19/HongKong/HK-HKPU-PU22MV822246/2022	2022-10-14
hCoV-19/HongKong/HK-HKPU-PU22MV692235/2022	2022-10-17
hCoV-19/HongKong/HK-HKPU-PU22MV692246/2022	2022-10-17
hCoV-19/HongKong/HK-HKPU-PU22MV692241/2022	2022-10-17
hCoV-19/HongKong/HK-HKPU-PU22MV692286/2022	2022-10-17
hCoV-19/HongKong/HK-HKPU-PU22MV051392/2022	2022-10-17
hCoV-19/HongKong/HK-HKPU-PU22MV695440/2022	2022-10-26
hCoV-19/HongKong/CUHK-NC10941/2022	2022-09-02
hCoV-19/HongKong/CUHK-NC10949/2022	2022-09-13
