strain	date
MN908947.3	2019-12-15
22MM576848/BA.5.6/2022-08-12/Local_case/CPH/A102/TSC	2022-08-12
22MM576014/BA.5.6/2022-08-11/Local_case/CPH/A102/HWYL	2022-08-11
22MM575238/BA.5.6/2022-08-09/Local_case/CPH/A102/KBY	2022-08-09
22MM576893/BA.5.6/2022-08-12/Local_case/CPH/A102/YLY	2022-08-12
22MM578074/BA.5.6/2022-08-15/Local_case/CPH/A102/LLP	2022-08-15
22MM100225/BA.5.6/2022-08-12/Local_case/CPH/A102/WK	2022-08-12
22MM576511/BA.5.6/2022-08-12/Local_case/CPH/A102/PML	2022-08-12
22MM575236/BA.5.6/2022-08-09/Local_case/CPH/A102/CMS	2022-08-09
22MM580166/BA.5.6/2022-08-18/Local_case/CPH/A102/TFKK	2022-08-18
22MM576904/BA.5.6/2022-08-12/Local_case/CPH/A102/CMCF	2022-08-12
22MM575983/BA.5.6/2022-08-11/Local_case/CPH/A102/WKK	2022-08-11
22MM100223/BA.5.6/2022-08-12/Local_case/CPH/A102/CSN	2022-08-12
22MM576420/BA.5.6/2022-08-12/Local_case/CPH/A102/WWC	2022-08-12
22MM575996/BA.5.6/2022-08-11/Local_case/CPH/A102/EAIIIA/CSC	2022-08-11
22MM576003/BA.5.6/2022-08-11/Local_case/CPH/A102/WSKB	2022-08-11
22MM575974/BA.5.6/2022-08-11/Local_case/CPH/A102/HLF	2022-08-11
22MM575432/BA.5.6/2022-08-10/Local_case/CPH/A102/CPS	2022-08-10
22MM575164/BA.5.6/2022-08-09/Local_case/CPH/A102/CSF	2022-08-09
22MM576510/BA.5.6/2022-08-12/Local_case/CPH/A102/LYM	2022-08-12
22MM576402/BA.5.6/2022-08-12/Local_case/CPH/A102/WYC	2022-08-12
22MM098265/BA.5.6/2022-08-07/Local_case/CPH/A102/MKK	2022-08-07
22MM099767/BA.5.6/2022-08-11/Local_case/CPH/A102/LMVC	2022-08-11
hCoV-19/HongKong/VZ22130570/2022	2022-07-10
hCoV-19/HongKong/VK22196853/2022	2022-07-11
hCoV-19/HongKong/VK22194274/2022	2022-07-10
hCoV-19/HongKong/VK22192341/2022	2022-07-09
hCoV-19/HongKong/VK22188211/2022	2022-07-06
hCoV-19/HongKong/VZ22119805/2022	2022-07-03
hCoV-19/HongKong/VK22181383/2022	2022-06-30
hCoV-19/HongKong/VK22177652/2022	2022-06-27
hCoV-19/HongKong/VZ22109932/2022	2022-06-26
hCoV-19/HongKong/VK22175639/2022	2022-06-25
hCoV-19/HongKong/CM22002767/2022	2022-06-18
hCoV-19/HongKong/VZ22116168/2022	2022-07-01
hCoV-19/HongKong/VK22184186/2022	2022-07-03
hCoV-19/HongKong/VK22176427/2022	2022-06-26
hCoV-19/HongKong/CM22001676/2022	2022-05-31
hCoV-19/HongKong/HK-HKPU-PUN522594118/2022	2022-08-02
hCoV-19/HongKong/HK-HKPU-PUN525910894/2022	2022-07-30
hCoV-19/HongKong/VK22250326/2022	2022-08-22
hCoV-19/HongKong/VK22250305/2022	2022-08-21
hCoV-19/HongKong/VK22249635/2022	2022-08-20
hCoV-19/HongKong/VK22249622/2022	2022-08-20
hCoV-19/HongKong/VK22249619/2022	2022-08-20
hCoV-19/HongKong/VK22249618/2022	2022-08-20
hCoV-19/HongKong/VK22249617/2022	2022-08-20
hCoV-19/HongKong/VK22245857/2022	2022-08-16
hCoV-19/HongKong/VK22245830/2022	2022-08-16
hCoV-19/HongKong/VK22245789/2022	2022-08-16
hCoV-19/HongKong/VK22245777/2022	2022-08-16
hCoV-19/HongKong/VK22245773/2022	2022-08-16
hCoV-19/HongKong/VK22239867/2022	2022-08-08
hCoV-19/HongKong/VK22249572/2022	2022-08-20
hCoV-19/HongKong/VK22249569/2022	2022-08-20
hCoV-19/HongKong/HK-HKPU-PUH094859148/2022	2022-06-23
hCoV-19/HongKong/HK-HKPU-PUN384444213/2022	2022-08-24
hCoV-19/HongKong/HK-HKPU-PUN384251288/2022	2022-08-21
hCoV-19/HongKong/HK-HKPU-PUN383826171/2022	2022-08-21
hCoV-19/HongKong/HK-HKPU-PUN384391950/2022	2022-08-21
hCoV-19/HongKong/HK-HKPU-PUN384129857/2022	2022-08-21
hCoV-19/HongKong/HK-HKPU-PUN383847373/2022	2022-08-22
hCoV-19/HongKong/HK-HKPU-PUN38517516A/2022	2022-08-20
hCoV-19/HongKong/HK-HKPU-PUN385175623/2022	2022-08-20
hCoV-19/HongKong/HK-HKPU-PUN518473093/2022	2022-08-17
hCoV-19/HongKong/HK-HKPU-PUN683502622/2022	2022-08-19
hCoV-19/HongKong/HK-HKPU-PUN684669059/2022	2022-08-19
hCoV-19/HongKong/HK-HKPU-PUN384440587/2022	2022-08-19
hCoV-19/HongKong/HK-HKPU-PUN384396014/2022	2022-08-19
hCoV-19/HongKong/HK-HKPU-PUN383865886/2022	2022-08-19
hCoV-19/HongKong/HK-HKPU-PUN384020251/2022	2022-08-18
hCoV-19/HongKong/HK-HKPU-PUN52513536A/2022	2022-08-15
hCoV-19/HongKong/HK-HKPU-PUN518577905/2022	2022-08-15
hCoV-19/HongKong/HK-HKPU-PUN526814546/2022	2022-08-15
