strain	date
hCoV-19/HongKong/VK22265714/2022	2022-09-17
hCoV-19/HongKong/VK22266100/2022	2022-09-12
hCoV-19/HongKong/VK22265709/2022	2022-09-12
hCoV-19/HongKong/HK-HKPU-PUN526521298/2022	2022-09-11
hCoV-19/HongKong/HK-HKPU-PUN52719178A/2022	2022-09-10
hCoV-19/HongKong/HK-HKPU-PUN52095771A/2022	2022-09-09
hCoV-19/HongKong/HK-HKPU-PUN521772039/2022	2022-08-31
hCoV-19/HongKong/HK-HKPU-PUN51981580A/2022	2022-08-27
hCoV-19/HongKong/HK-HKPU-PUN519923122/2022	2022-08-30
hCoV-19/HongKong/HK-HKPU-PUN519923173/2022	2022-08-30
hCoV-19/HongKong/HK-HKPU-PUN519916576/2022	2022-08-30
hCoV-19/HongKong/HK-HKPU-PU22MV047104/2022	2022-08-30
hCoV-19/HongKong/HK-HKPU-PU22M0942375/2022	2022-08-25
hCoV-19/HongKong/HK-HKPU-PU22MB655694/2022	2022-08-30
hCoV-19/HongKong/HK-HKPU-PU22MB655967/2022	2022-08-31
hCoV-19/HongKong/HKU-684/2022	2022-10-04
hCoV-19/HongKong/HKU-593/2022	2022-09-10
hCoV-19/HongKong/HKU-588/2022	2022-09-08
hCoV-19/HongKong/HKU-570/2022	2022-08-25
hCoV-19/HongKong/HKU-569/2022	2022-08-25
hCoV-19/HongKong/HKU-566/2022	2022-08-25
hCoV-19/HongKong/HK-HKPU-PUN527272259/2022	2022-09-21
hCoV-19/HongKong/HK-HKPU-PUN527828583/2022	2022-09-21
hCoV-19/HongKong/HK-HKPU-PUN38661597A/2022	2022-09-20
hCoV-19/HongKong/HK-HKPU-PUN386610536/2022	2022-09-20
hCoV-19/HongKong/HK-HKPU-PUN52093678A/2022	2022-09-18
hCoV-19/HongKong/CUHK-NC10947/2022	2022-09-08
