strain	date
hCoV-19/HongKong/HK-HKPU-PUU03973358A/2022	2022-06-06
hCoV-19/HongKong/HK-HKPU-PUU039416908/2022	2022-06-06
hCoV-19/HongKong/HK-HKPU-PUN385165075/2022	2022-06-03
hCoV-19/HongKong/HK-HKPU-PUU039377171/2022	2022-06-08
hCoV-19/HongKong/HK-HKPU-PUH09360698A/2022	2022-06-10
hCoV-19/HongKong/HK-HKPU-PUH093597964/2022	2022-06-13
hCoV-19/HongKong/HK-HKPU-PUH099582551/2022	2022-06-04
hCoV-19/HongKong/HK-HKPU-PUH099595610/2022	2022-06-04
hCoV-19/HongKong/HK-HKPU-PUU038286148/2022	2022-06-04
hCoV-19/HongKong/HK-HKPU-PUU039538752/2022	2022-06-04
hCoV-19/HongKong/VK22174611/2022	2022-06-24
hCoV-19/HongKong/VK22171864/2022	2022-06-21
hCoV-19/HongKong/VK22170982/2022	2022-06-20
hCoV-19/HongKong/CH22115472/2022	2022-06-18
hCoV-19/HongKong/CM22002420/2022	2022-06-14
hCoV-19/HongKong/HKU-220712-006/2022	2022-05-30
hCoV-19/HongKong/HKU-220712-003/2022	2022-05-30
hCoV-19/HongKong/VK22165912/2022	2022-06-11
hCoV-19/HongKong/VZ22097307/2022	2022-06-07
hCoV-19/HongKong/VZ22097193/2022	2022-06-07
hCoV-19/HongKong/VK22166422/2022	2022-06-11
hCoV-19/HongKong/VK22165840/2022	2022-06-11
hCoV-19/HongKong/VK22165838/2022	2022-06-11
hCoV-19/HongKong/VK22165832/2022	2022-06-11
hCoV-19/HongKong/VK22165808/2022	2022-06-11
hCoV-19/HongKong/VK22165242/2022	2022-06-09
hCoV-19/HongKong/VK22164046/2022	2022-06-06
hCoV-19/HongKong/VK22163894/2022	2022-06-06
hCoV-19/HongKong/VK22163755/2022	2022-06-06
hCoV-19/HongKong/VK22163632/2022	2022-06-05
hCoV-19/HongKong/CM22001860/2022	2022-06-04
hCoV-19/HongKong/CM22001859/2022	2022-06-04
hCoV-19/HongKong/CM22001858/2022	2022-06-04
hCoV-19/HongKong/CM22001853/2022	2022-06-04
hCoV-19/HongKong/CM22001850/2022	2022-06-04
hCoV-19/HongKong/CM22001848/2022	2022-06-04
hCoV-19/HongKong/CM22001847/2022	2022-06-04
hCoV-19/HongKong/CM22001841/2022	2022-06-04
hCoV-19/HongKong/CM22001837/2022	2022-06-04
hCoV-19/HongKong/CM22001836/2022	2022-06-04
hCoV-19/HongKong/CM22001833/2022	2022-06-04
hCoV-19/HongKong/CM22001816/2022	2022-06-04
hCoV-19/HongKong/CM22001806/2022	2022-06-03
hCoV-19/HongKong/CM22001805/2022	2022-06-03
hCoV-19/HongKong/CM22001796/2022	2022-06-03
hCoV-19/HongKong/CM22001782/2022	2022-06-03
hCoV-19/HongKong/CM22001781/2022	2022-06-03
hCoV-19/HongKong/CM22001780/2022	2022-06-03
hCoV-19/HongKong/VZ22096675/2022	2022-06-05
hCoV-19/HongKong/VZ22096594/2022	2022-06-05
hCoV-19/HongKong/VZ22096367/2022	2022-06-04
hCoV-19/HongKong/VZ22096068/2022	2022-06-03
hCoV-19/HongKong/VZ22095847/2022	2022-06-02
hCoV-19/HongKong/VZ22095832/2022	2022-06-02
hCoV-19/HongKong/VZ22095758/2022	2022-06-02
hCoV-19/HongKong/VZ22095756/2022	2022-06-02
hCoV-19/HongKong/VZ22095625/2022	2022-06-01
hCoV-19/HongKong/VZ22095574/2022	2022-06-01
hCoV-19/HongKong/VZ22095557/2022	2022-06-01
hCoV-19/HongKong/VZ22095548/2022	2022-06-01
hCoV-19/HongKong/VZ22095512/2022	2022-06-01
hCoV-19/HongKong/VZ22095460/2022	2022-05-31
hCoV-19/HongKong/VK22163364/2022	2022-06-04
hCoV-19/HongKong/VK22163199/2022	2022-06-03
hCoV-19/HongKong/VK22163195/2022	2022-06-02
hCoV-19/HongKong/VK22163168/2022	2022-06-03
hCoV-19/HongKong/CM22001713/2022	2022-06-01
hCoV-19/HongKong/CM22001707/2022	2022-06-01
hCoV-19/HongKong/CM22001700/2022	2022-06-01
hCoV-19/HongKong/CM22001698/2022	2022-06-01
hCoV-19/HongKong/CM22001693/2022	2022-06-01
hCoV-19/HongKong/CM22001680/2022	2022-06-01
hCoV-19/HongKong/CM22001679/2022	2022-05-31
hCoV-19/HongKong/CM22001665/2022	2022-06-01
hCoV-19/HongKong/CM22001663/2022	2022-05-31
hCoV-19/HongKong/CM22001648/2022	2022-05-31
hCoV-19/HongKong/CM22001647/2022	2022-05-31
hCoV-19/HongKong/CM22001646/2022	2022-05-31
hCoV-19/HongKong/CM22001645/2022	2022-05-31
hCoV-19/HongKong/CM22001641/2022	2022-05-30
hCoV-19/HongKong/CM22001610/2022	2022-05-29
hCoV-19/HongKong/CM22001609/2022	2022-05-29
hCoV-19/HongKong/HK-HKPU-PU22TM715233/2022	2022-05-23
hCoV-19/HongKong/HK-HKPU-PUU037444823/2022	2022-05-22
hCoV-19/HongKong/HK-HKPU-PUU03803727A/2022	2022-05-25
hCoV-19/HongKong/HK-HKPU-PUU037380914/2022	2022-05-25
hCoV-19/HongKong/HK-HKPU-PUU038375833/2022	2022-05-25
hCoV-19/HongKong/HK-HKPU-PUU038152605/2022	2022-05-25
