inclusion_prob_ratio_nt_over_other,implied_true_rate_ratio_if_Robs
1.0,4.193995031216018
1.5,2.7959966874773454
2.0,2.096997515608009
2.5,1.6775980124864074
3.0,1.3979983437386727
3.5,1.198284294633148
4.0,1.0484987578040046
4.2,0.9985702455276234
5.0,0.8387990062432037
6.0,0.6989991718693364
7.0,0.599142147316574
8.0,0.5242493789020023
