scope,denominator,sci_nt,sci_other,ratio_nt_other,label
all_system,patient_days_fy2022_23,2.5510510330256064,0.3578105235088105,7.129614322153359,patient_days
all_system,beds_total,6.86452654956592,0.9376696441790455,7.320836919676538,beds
all_system,ip_discharges_fy2022_23,22.928432942763212,2.7222034374265722,8.42274777392778,discharges
represented,patient_days_fy2022_23,2.5510510330256064,0.6082627695164311,4.193995031216018,patient_days
represented,beds_total,6.86452654956592,1.6991593632623858,4.039954519855059,beds
represented,ip_discharges_fy2022_23,22.928432942763212,4.704425874342309,4.87380044987289,discharges
