ha_cluster,catchment_population_2017,land_area_km2_core,n_hospitals_institutions,region_group,pop_2021,land_2021_core,pop_2021_islands_split,land_2021_islands_split,sequenced_all,sequenced_inpatient,sequenced_staff_outpatient,genomic_representation,dens_pop2017_land_core,dens_pop2021_land_core,dens_pop2021_land_2021,dens_pop2021_islands_split,hosp_per_100km2_core,hosp_per_100km2_2021
HKEC,762900,28.77,7,Urban,696298,28.77,788939,120.14,6.0,6,0.0,represented,26517.205422314913,24202.224539450817,24202.224539450817,6566.830364574663,24.330900243309003,24.330900243309003
HKWC,521200,51.95,7,Urban,499231,51.95,499231,51.95,,0,,not_represented_in_genomic_sample,10032.723772858517,9609.836381135707,9609.836381135707,9609.836381135707,13.474494706448509,13.474494706448509
KCC,1159700,26.31,9,Urban,1128083,26.310000000000002,1128083,26.310000000000002,,0,,not_represented_in_genomic_sample,44078.297225389586,42876.5868491068,42876.5868491068,42876.5868491068,34.20752565564425,34.20752565564424
KEC,1138100,147.62,3,Urban,1162203,147.62,1162203,147.62,5.0,5,0.0,represented,7709.659937677821,7872.937271372442,7872.937271372442,7872.937271372442,2.032244953258366,2.032244953258366
KWC,1350400,95.32,5,Urban,1246982,95.32,1339623,186.69,12.0,8,4.0,represented,14167.016365925305,13082.060428031893,13082.060428031893,7175.654828860678,5.245488879563576,5.245488879563576
NTEC,1328000,353.97,7,New Territories,1318907,353.96999999999997,1318907,353.96999999999997,39.0,24,15.0,represented,3751.7303726304485,3726.0417549509843,3726.041754950985,3726.041754950985,1.977568720513038,1.9775687205130381
NTWC,1150300,226.1,5,New Territories,1174959,226.10000000000002,1174959,226.10000000000002,64.0,44,20.0,represented,5087.571870853605,5196.634232640425,5196.634232640424,5196.634232640424,2.21141088014153,2.2114108801415298
