ha_cluster,beds_total,catchment_population_2017,land_area_km2_core,n_hospitals_institutions,ip_discharges_2021_22,patient_days_2021_22,patient_days_general,patient_days_mentally_ill,sequenced_hai_cases,n_hospitals_sampled,n_wards,hospital_coded_tips_in_window,official_mention_days,pop_density,hospitals_per_100km2,beds_per_100km2,psych_patient_day_share,hai_per_1000_beds,hai_per_100k_discharges,hai_per_100k_patient_days,hai_per_million_pop,tips_per_1000_beds,tips_per_100k_discharges,mention_days_per_1000_beds,hai_per_100k_discharges_window_scaled,region_group
HKEC,3307,762900,28.77,7,102190,822971,587224,79454,8,3,4,6,4,26517.205422314913,24.330900243309003,11494.612443517553,0.09654532176710966,2.419110976716057,7.828554653097172,0.9720877163350835,10.486302267662866,1.8143332325370425,5.871415989822879,1.2095554883580284,34.45035647040653,Urban (in sample)
HKWC,3076,521200,51.95,7,103370,635637,573106,22850,0,0,0,0,1,10032.723772858517,13.474494706448509,5921.077959576515,0.03594819055530122,0.0,0.0,0.0,0.0,0.0,0.0,0.32509752925877766,0.0,Urban (no sequenced HAI in table)
KCC,6005,1159700,26.31,9,199221,1599173,1396680,128186,0,0,0,0,10,44078.297225389586,34.20752565564425,22824.021284682633,0.08015768150162615,0.0,0.0,0.0,0.0,0.0,0.0,1.6652789342214822,0.0,Urban (no sequenced HAI in table)
KEC,2922,1138100,147.62,3,114909,809758,767497,15952,5,1,1,5,1,7709.659937677821,2.032244953258366,1979.4065844736483,0.019699712753686906,1.7111567419575633,4.351269265244672,0.6174684288392335,4.393287057376329,1.7111567419575633,4.351269265244672,0.34223134839151265,19.148206013621884,Urban (in sample)
KWC,4953,1350400,95.32,5,201096,1416390,1113624,238794,15,3,3,17,9,14167.016365925305,5.245488879563576,5196.181284095678,0.16859339588672612,3.0284675953967293,7.459124000477384,1.0590303518098827,11.107819905213269,3.43226327478296,8.453673867207701,1.8170805572380375,32.82463905029355,Urban (in sample)
NTEC,5144,1328000,353.97,7,163397,1311078,1077211,144986,56,5,11,48,9,3751.7303726304485,1.977568720513038,1453.2304997598665,0.11058533512117509,10.88646967340591,34.27235506159843,4.271294308957971,42.16867469879518,9.33125972006221,29.37630433851295,1.749611197511664,150.81900826805818,New Territories
NTWC,4762,1150300,226.1,5,140388,1331433,893239,255564,78,5,10,70,12,5087.571870853605,2.21141088014153,2106.1477222467934,0.19194657185153138,16.37967240655187,55.56030429951277,5.858349612785623,67.80839780926715,14.699706005879884,49.8618115508448,2.51994960100798,244.49880898068727,New Territories
